issued_time,n_pairs,pearson_r,spearman_r
2026:02:09T00:00:00,129,0.0043,0.1474
2026:02:09T12:00:00,128,-0.031,0.0954
2026:02:10T00:00:00,121,0.1923,0.1185
2026:02:10T12:00:00,115,0.2913,0.3346
2026:02:11T00:00:00,115,0.076,0.2036
2026:02:11T12:00:00,115,0.0079,0.1768
2026:02:12T00:00:00,115,-0.0275,0.0658
2026:02:12T12:00:00,115,0.2036,0.3773
2026:02:13T00:00:00,115,0.1219,0.2804
2026:02:13T12:00:00,120,-0.0195,0.1022
2026:02:14T00:00:00,125,0.3359,0.299
2026:02:14T12:00:00,125,-0.0338,0.0706
2026:02:15T00:00:00,125,-0.0384,0.0941
2026:02:15T12:00:00,130,-0.0007,0.2131
2026:02:16T00:00:00,136,0.0616,0.3096
2026:02:16T12:00:00,139,0.0857,0.2292
2026:02:17T00:00:00,139,-0.044,0.0275
2026:02:17T12:00:00,139,0.0122,0.1585
2026:02:18T00:00:00,131,0.3085,0.1562
2026:02:18T12:00:00,119,0.3544,0.311
2026:02:19T00:00:00,107,0.2771,0.2688
2026:02:19T12:00:00,95,-0.0384,0.2526
2026:02:20T00:00:00,83,0.0629,0.3158
2026:02:20T12:00:00,71,-0.0351,0.0886
2026:02:21T00:00:00,59,0.0493,0.1796
2026:02:21T12:00:00,47,-0.0706,-0.0996
2026:02:22T00:00:00,35,0.1179,0.049
2026:02:22T12:00:00,23,-0.0919,0.0089
2026:02:23T00:00:00,11,,
