issued_time,n_pairs,pearson_r,spearman_r
2026:02:09T00:00:00,25,-0.0752,0.1714
2026:02:09T12:00:00,25,-0.0528,0.3022
2026:02:10T00:00:00,25,0.0829,0.1902
2026:02:10T12:00:00,25,0.1514,0.1816
2026:02:11T00:00:00,25,0.9494,0.3957
2026:02:11T12:00:00,25,0.2975,0.4015
2026:02:12T00:00:00,25,-0.0869,-0.1726
2026:02:12T12:00:00,20,-0.0653,0.1751
2026:02:13T00:00:00,15,,
2026:02:13T12:00:00,20,-0.0641,0.1169
2026:02:14T00:00:00,25,0.5102,0.4304
2026:02:14T12:00:00,20,,
2026:02:15T00:00:00,13,,
2026:02:15T12:00:00,16,0.9859,0.5519
2026:02:16T00:00:00,22,-0.0957,-0.1251
2026:02:16T12:00:00,25,-0.0417,-0.0417
2026:02:17T00:00:00,25,-0.0567,-0.0443
2026:02:17T12:00:00,25,0.0634,0.3447
2026:02:18T00:00:00,25,-0.0884,0.0
2026:02:18T12:00:00,25,0.0105,0.6423
2026:02:19T00:00:00,25,0.3842,0.5667
2026:02:19T12:00:00,25,0.0377,0.3873
2026:02:20T00:00:00,25,0.343,0.4283
2026:02:20T12:00:00,25,-0.094,-0.1808
2026:02:21T00:00:00,25,0.1067,0.3643
2026:02:21T12:00:00,25,-0.0983,-0.1281
2026:02:22T00:00:00,25,0.0835,-0.0188
2026:02:22T12:00:00,23,-0.0919,0.0089
2026:02:23T00:00:00,11,,
